,rh,Tair,Tw
122,61.5,40.70000000000022,33.91
123,62.0,40.60000000000022,33.92
124,62.5,40.50000000000022,33.94
125,63.0,40.40000000000022,33.95
126,63.5,40.30000000000022,33.96
127,64.0,40.30000000000022,34.06
128,64.5,40.200000000000216,34.07
129,65.0,40.100000000000215,34.07
130,65.5,40.00000000000021,34.08
131,66.0,39.90000000000021,34.09
132,66.5,39.80000000000021,34.09
133,67.0,39.70000000000021,34.1
134,67.5,39.60000000000021,34.1
135,68.0,39.500000000000206,34.11
136,68.5,39.400000000000205,34.11
137,69.0,39.3000000000002,34.11
138,69.5,39.3000000000002,34.21
139,70.0,39.2000000000002,34.21
140,70.5,39.1000000000002,34.21
141,71.0,39.0000000000002,34.21
142,71.5,38.9000000000002,34.2
143,72.0,38.800000000000196,34.2
144,72.5,38.800000000000196,34.29
145,73.0,38.700000000000195,34.29
146,73.5,38.60000000000019,34.29
147,74.0,38.50000000000019,34.28
148,74.5,38.40000000000019,34.28
149,75.0,38.30000000000019,34.27
150,75.5,38.30000000000019,34.36
151,76.0,38.20000000000019,34.35
152,76.5,38.100000000000186,34.35
153,77.0,38.000000000000185,34.34
154,77.5,37.90000000000018,34.33
155,78.0,37.90000000000018,34.42
156,78.5,37.80000000000018,34.41
157,79.0,37.70000000000018,34.4
158,79.5,37.60000000000018,34.39
159,80.0,37.60000000000018,34.47
160,80.5,37.50000000000018,34.46
161,81.0,37.400000000000176,34.45
162,81.5,37.300000000000175,34.43
163,82.0,37.300000000000175,34.52
164,82.5,37.20000000000017,34.5
165,83.0,37.10000000000017,34.49
166,83.5,37.00000000000017,34.47
167,84.0,37.00000000000017,34.55
168,84.5,36.90000000000017,34.54
169,85.0,36.80000000000017,34.52
170,85.5,36.700000000000166,34.5
171,86.0,36.700000000000166,34.58
172,86.5,36.600000000000165,34.57
173,87.0,36.50000000000016,34.55
174,87.5,36.50000000000016,34.63
175,88.0,36.40000000000016,34.61
176,88.5,36.30000000000016,34.59
177,89.0,36.20000000000016,34.57
178,89.5,36.20000000000016,34.64
179,90.0,36.10000000000016,34.62
180,90.5,36.000000000000156,34.6
181,91.0,36.000000000000156,34.68
182,91.5,35.900000000000155,34.65
183,92.0,35.80000000000015,34.63
184,92.5,35.80000000000015,34.71
185,93.0,35.70000000000015,34.68
186,93.5,35.60000000000015,34.66
187,94.0,35.60000000000015,34.73
188,94.5,35.50000000000015,34.71
189,95.0,35.40000000000015,34.68
190,95.5,35.40000000000015,34.75
191,96.0,35.300000000000146,34.73
192,96.5,35.300000000000146,34.8
193,97.0,35.200000000000145,34.77
194,97.5,35.10000000000014,34.74
195,98.0,35.10000000000014,34.82
196,98.5,35.00000000000014,34.79
197,99.0,34.90000000000014,34.76
198,99.5,34.90000000000014,34.83
199,100.0,34.80000000000014,34.8
