,rh,Tair,Tw
58,29.5,49.40000000000035,32.62
59,30.0,49.200000000000344,32.64
60,30.5,49.10000000000034,32.75
61,31.0,48.90000000000034,32.77
62,31.5,48.80000000000034,32.86
63,32.0,48.600000000000335,32.88
64,32.5,48.500000000000334,32.97
65,33.0,48.30000000000033,32.98
66,33.5,48.20000000000033,33.07
67,34.0,48.00000000000033,33.07
68,34.5,47.900000000000325,33.16
69,35.0,47.70000000000032,33.16
70,35.5,47.60000000000032,33.24
71,36.0,47.50000000000032,33.31
72,36.5,47.30000000000032,33.31
73,37.0,47.200000000000315,33.38
74,37.5,47.00000000000031,33.37
75,38.0,46.90000000000031,33.44
76,38.5,46.70000000000031,33.43
77,39.0,46.70000000000031,33.58
78,39.5,46.70000000000031,33.73
79,40.0,46.70000000000031,33.88
80,40.5,46.70000000000031,34.03
81,41.0,46.60000000000031,34.09
82,41.5,46.400000000000304,34.07
83,42.0,46.3000000000003,34.13
84,42.5,46.1000000000003,34.1
85,43.0,46.0000000000003,34.15
86,43.5,45.800000000000296,34.12
87,44.0,45.700000000000294,34.17
88,44.5,45.50000000000029,34.14
89,45.0,45.40000000000029,34.19
90,45.5,45.30000000000029,34.24
91,46.0,45.100000000000286,34.2
92,46.5,45.000000000000284,34.24
93,47.0,44.80000000000028,34.2
94,47.5,44.70000000000028,34.24
95,48.0,44.60000000000028,34.28
96,48.5,44.400000000000276,34.24
97,49.0,44.300000000000274,34.28
98,49.5,44.20000000000027,34.31
99,50.0,44.00000000000027,34.26
100,50.5,43.90000000000027,34.3
101,51.0,43.80000000000027,34.33
102,51.5,43.600000000000264,34.28
103,52.0,43.50000000000026,34.31
104,52.5,43.40000000000026,34.34
105,53.0,43.30000000000026,34.37
106,53.5,43.10000000000026,34.31
107,54.0,43.000000000000256,34.34
108,54.5,42.900000000000254,34.37
109,55.0,42.80000000000025,34.39
110,55.5,42.70000000000025,34.42
111,56.0,42.50000000000025,34.35
112,56.5,42.40000000000025,34.37
113,57.0,42.300000000000246,34.4
114,57.5,42.200000000000244,34.42
115,58.0,42.10000000000024,34.44
116,58.5,42.00000000000024,34.46
117,59.0,41.90000000000024,34.48
118,59.5,41.70000000000024,34.4
119,60.0,41.600000000000236,34.42
120,60.5,41.500000000000234,34.43
121,61.0,41.40000000000023,34.45
122,61.5,41.30000000000023,34.46
123,62.0,41.20000000000023,34.48
124,62.5,41.10000000000023,34.49
125,63.0,41.00000000000023,34.5
126,63.5,40.900000000000226,34.51
127,64.0,40.800000000000225,34.52
128,64.5,40.70000000000022,34.53
129,65.0,40.60000000000022,34.54
130,65.5,40.50000000000022,34.55
131,66.0,40.40000000000022,34.55
132,66.5,40.30000000000022,34.56
133,67.0,40.200000000000216,34.56
134,67.5,40.100000000000215,34.57
135,68.0,40.00000000000021,34.57
136,68.5,39.90000000000021,34.58
137,69.0,39.80000000000021,34.58
138,69.5,39.70000000000021,34.58
139,70.0,39.60000000000021,34.58
140,70.5,39.500000000000206,34.58
141,71.0,39.400000000000205,34.58
142,71.5,39.3000000000002,34.58
143,72.0,39.2000000000002,34.58
144,72.5,39.1000000000002,34.58
145,73.0,39.0000000000002,34.57
146,73.5,39.0000000000002,34.67
147,74.0,38.9000000000002,34.66
148,74.5,38.800000000000196,34.66
149,75.0,38.700000000000195,34.65
150,75.5,38.60000000000019,34.65
151,76.0,38.50000000000019,34.64
152,76.5,38.40000000000019,34.63
153,77.0,38.30000000000019,34.62
154,77.5,38.20000000000019,34.62
155,78.0,38.20000000000019,34.7
156,78.5,38.100000000000186,34.69
157,79.0,38.000000000000185,34.68
158,79.5,37.90000000000018,34.67
159,80.0,37.80000000000018,34.66
160,80.5,37.70000000000018,34.65
161,81.0,37.70000000000018,34.73
162,81.5,37.60000000000018,34.72
163,82.0,37.50000000000018,34.71
164,82.5,37.400000000000176,34.69
165,83.0,37.300000000000175,34.68
166,83.5,37.300000000000175,34.76
167,84.0,37.20000000000017,34.75
168,84.5,37.10000000000017,34.73
169,85.0,37.00000000000017,34.72
170,85.5,36.90000000000017,34.7
171,86.0,36.90000000000017,34.78
172,86.5,36.80000000000017,34.76
173,87.0,36.700000000000166,34.74
174,87.5,36.600000000000165,34.72
175,88.0,36.600000000000165,34.8
176,88.5,36.50000000000016,34.78
177,89.0,36.40000000000016,34.76
178,89.5,36.30000000000016,34.74
179,90.0,36.30000000000016,34.82
180,90.5,36.20000000000016,34.8
181,91.0,36.10000000000016,34.77
182,91.5,36.000000000000156,34.75
183,92.0,36.000000000000156,34.83
184,92.5,35.900000000000155,34.8
185,93.0,35.80000000000015,34.78
186,93.5,35.70000000000015,34.76
187,94.0,35.70000000000015,34.83
188,94.5,35.60000000000015,34.8
189,95.0,35.50000000000015,34.78
190,95.5,35.50000000000015,34.85
191,96.0,35.40000000000015,34.83
192,96.5,35.300000000000146,34.8
193,97.0,35.300000000000146,34.87
194,97.5,35.200000000000145,34.84
195,98.0,35.10000000000014,34.82
196,98.5,35.10000000000014,34.89
197,99.0,35.00000000000014,34.86
198,99.5,34.90000000000014,34.83
199,100.0,34.90000000000014,34.9
